Kunta,Väkiluku
Helsinki,689758
Espoo,323910
Tampere,260646
Vantaa,252724
Oulu,216066
Turku,206655
Jyväskylä,148744
Kuopio,125462
Lahti,121622
Pori,83157
Joensuu,78398
Kouvola,78094
Lappeenranta,72909
Vaasa,69819
Hämeenlinna,68473
Seinäjoki,66848
Rovaniemi,65670
Porvoo,51853
Mikkeli,51661
Salo,50794
Kotka,50157
Kokkola,48361
Hyvinkää,47089
Järvenpää,46942
Lohja,45686
Nurmijärvi,45356
Tuusula,42624
Kirkkonummi,41821
Rauma,38909
Kerava,38535
Kaarina,36631
Kajaani,36458
Nokia,36486
Kangasala,34315
Ylöjärvi,33731
Savonlinna,31283
Vihti,28864
Riihimäki,28610
Raasepori,27002
Raisio,25846
Lempäälä,25036
Imatra,24581
Raahe,23566
Sastamala,23444
Sipoo,22903
Hollola,22843
Siilinjärvi,21383
Pirkkala,21204
Tornio,20932
Mäntsälä,20966
Valkeakoski,20859
Lieto,20694
Iisalmi,20330
Naantali,20312
Mustasaari,19787
Kempele,19698
Varkaus,19603
Pietarsaari,19668
Kurikka,19474
Kemi,19332
Hamina,19305
Jämsä,19209
Laukaa,18876
Heinola,17746
Äänekoski,17614
Pieksämäki,17243
Akaa,16402
Forssa,16368
Janakkala,15995
Orimattila,15628
Ylivieska,15375
Loimaa,15248
Kontiolahti,15092
Kauhava,15066
Kuusamo,14784
Parainen,14814
Uusikaupunki,14750
Loviisa,14362
Lapua,14016
Kankaanpää,12571
Kauhajoki,12500
Ilmajoki,12473
Ulvila,12345
Kalajoki,12231
Liperi,11927
Maarianhamina,11898
Pedersören kunta,11330
Paimio,11241
Eura,11093
Alavus,10722
Muurame,10662
Nivala,10397
Hämeenkyrö,10351
Liminka,10166
Sotkamo,10164
Kauniainen,10200
Lieksa,10002
Ii,9800
Masku,9628
Huittinen,9618
Närpiö,9559
Kitee,9483
Hattula,9348
Mänttä-Vilppula,9234
Keuruu,9088
Alajärvi,9065
Eurajoki,9000
Leppävirta,8974
Nurmes,8924
Lapinlahti,8856
Orivesi,8860
Saarijärvi,8831
Muhos,8743
Laitila,8492
Karkkila,8391
Somero,8423
Sodankylä,8067
Pöytyä,8000
Hausjärvi,7923
Asikkala,7870
Hanko,7740
Laihia,7662
Loppi,7622
Keminmaa,7591
Mynämäki,7470
Uusikaarlepyy,7462
Kuhmo,7413
Kiuruvesi,7338
Pudasjärvi,7226
Inari,7212
Mäntyharju,7076
Suomussalmi,7001
Kemijärvi,6918
Oulainen,6887
Kittilä,6658
Ikaalinen,6713
Kokemäki,6662
Harjavalta,6605
Suonenjoki,6615
Tyrnävä,6538
Haapajärvi,6482
Outokumpu,6404
Rusko,6397
Iitti,6410
Haapavesi,6347
Kemiönsaari,6365
Kruunupyy,6318
Vöyri,6264
Säkylä,6237
Pälkäne,6203
Siuntio,6251
Virrat,6165
Kristiinankaupunki,6131
Parkano,6092
Luoto,5934
Tammela,5810
Jomala,5829
Viitasaari,5787
Juva,5628
Maalahti,5423
Inkoo,5416
Kannus,5255
Ähtäri,5180
Kangasniemi,5057
Pyhtää,5031
Pornainen,4964
Nakkila,4905
Siikalatva,4892
Jokioinen,4828
Siikajoki,4808
Ruokolahti,4721
Askola,4704
Nousiainen,4685
Sievi,4654
Pyhäjärvi,4639
Teuva,4628
Taipalsaari,4591
Joroinen,4543
Vesilahti,4550
Urjala,4495
Hankasalmi,4468
Ilomantsi,4327
Luumäki,4327
Isokyrö,4296
Parikkala,4284
Juuka,4118
Kaustinen,4098
Joutsa,4097
Kärkölä,4102
Ruovesi,4002
Kolari,3952
Polvijärvi,3957
Aura,3965
Pielavesi,3944
Tohmajärvi,3925
Ylitornio,3697
Pihtipudas,3697
Uurainen,3652
Taivalkoski,3624
Ranua,3563
Petäjävesi,3548
Sonkajärvi,3551
Karstula,3541
Sysmä,3393
Vieremä,3353
Kuortane,3328
Salla,3235
Rantasalmi,3247
Pello,3182
Savitaipale,3151
Paltamo,2972
Rautjärvi,2945
Pyhäjoki,2970
Sauvo,2968
Rautalampi,2953
Veteli,2931
Heinävesi,2909
Merikarvia,2882
Lemi,2885
Posio,2872
Tervola,2820
Virolahti,2796
Toholampi,2787
Simo,2753
Lappajärvi,2710
Padasjoki,2670
Finström,2639
Punkalaidun,2595
Vimpeli,2603
Kaavi,2578
Perho,2572
Vaala,2567
Reisjärvi,2534
Hartola,2463
Utajärvi,2447
Konnevesi,2429
Lapinjärvi,2444
Alavieska,2407
Kärsämäki,2350
